model,dataStr,costFunction,MSE,MAE,GME,CWE,BMSE,MAPE,MSE_val,MAE_val,GME_val,CWE_val,BMSE_val,MAPE_val,MSE_test,MAE_test,GME_test,CWE_test,BMSE_test,MAPE_test,date
LinearRegression,synthetic_r=1,MSE,0.007518,0.071973,0.071383,0.071387,6.628031,0.053261,0.009457,0.082882,0.087473,0.087678,5.114539,0.059023,0.010681,0.085837,0.084273,0.084295,5.158944,0.059335,07 22:32:30
LinearRegression,synthetic_r=1.1,MSE,0.008187,0.075435,0.079729,0.079926,6.639930,0.061410,0.008571,0.078051,0.073887,0.074055,5.100009,0.064704,0.011339,0.089455,0.092857,0.092960,5.166338,0.072755,07 22:32:43
LinearRegression,synthetic_r=1.2,MSE,0.008183,0.075440,0.083926,0.084725,6.638415,0.072270,0.008377,0.077940,0.081395,0.081518,5.095060,0.074673,0.008346,0.077378,0.087138,0.088177,5.094558,0.073406,07 22:32:54
LinearRegression,synthetic_r=1.3,MSE,0.008028,0.072862,0.083185,0.084433,6.645986,0.082436,0.008636,0.078348,0.084095,0.084439,5.106588,0.076913,0.007723,0.075298,0.091629,0.094823,5.083755,0.085966,07 22:33:14
LinearRegression,synthetic_r=1.4,MSE,0.008102,0.073227,0.085567,0.087376,6.648466,0.091747,0.008098,0.075306,0.087574,0.089306,5.100650,0.090861,0.006328,0.064934,0.057365,0.058014,5.074847,0.071187,07 22:33:30
LinearRegression,synthetic_r=1.5,MSE,0.006850,0.065805,0.078284,0.080374,6.635146,0.093026,0.007738,0.068582,0.086804,0.091352,5.125271,0.103544,0.006314,0.062543,0.071747,0.072907,5.090197,0.090710,07 22:33:48
LinearRegression,synthetic_r=1.6,MSE,0.007382,0.067106,0.084677,0.088984,6.652399,0.106996,0.006364,0.062848,0.074804,0.076815,5.095685,0.100366,0.005355,0.057468,0.063695,0.064258,5.066781,0.089654,07 22:34:05
LinearRegression,synthetic_r=1.7,MSE,0.006191,0.060607,0.077758,0.082386,6.633772,0.106832,0.006052,0.058037,0.074515,0.078980,5.111149,0.101913,0.006333,0.059425,0.080531,0.088196,5.111848,0.113499,07 22:34:26
LinearRegression,synthetic_r=1,MAE,0.007563,0.071812,0.073545,0.073578,6.632047,0.051693,0.009590,0.082875,0.085010,0.085054,5.122426,0.057169,0.010918,0.085923,0.087173,0.087187,5.174384,0.057200,07 22:34:53
LinearRegression,synthetic_r=1.1,MAE,0.008286,0.075180,0.079613,0.079824,6.647534,0.059550,0.008533,0.076306,0.073278,0.073370,5.110077,0.062401,0.011668,0.089868,0.093169,0.093266,5.179981,0.070645,07 22:35:21
LinearRegression,synthetic_r=1.2,MAE,0.008297,0.075276,0.088842,0.090986,6.645602,0.075604,0.008489,0.078274,0.087403,0.088296,5.097844,0.079000,0.008412,0.076202,0.092354,0.095430,5.105223,0.075853,07 22:35:47
